lat,line,line_color,lon,order,station,year,depth,number
55.825479,Таганско-Краснопресненская линия,#943E90,37.437024,2,Тушинская,1975,-10.5,7
55.8182,Таганско-Краснопресненская линия,#943E90,37.4352,3,Спартак,2014,-10,7
55.8094,Таганско-Краснопресненская линия,#943E90,37.463241,4,Щукинская,1975,-13,7
55.793581,Таганско-Краснопресненская линия,#943E90,37.493317,5,Октябрьское поле,1972,-9,7
55.777201,Таганско-Краснопресненская линия,#943E90,37.517895,6,Полежаевская,1972,-10,7
55.77350500000001,Таганско-Краснопресненская линия,#943E90,37.545518,7,Беговая,1972,-9,7
55.763943999999995,Таганско-Краснопресненская линия,#943E90,37.562271,8,Улица 1905 года,1972,-11,7
55.76079300000001,Таганско-Краснопресненская линия,#943E90,37.581241999999996,9,Баррикадная,1972,-30,7
55.765606999999996,Таганско-Краснопресненская линия,#943E90,37.604356,10,Пушкинская,1975,-51,7
55.761497999999996,Таганско-Краснопресненская линия,#943E90,37.624423,11,Кузнецкий мост,1975,-39.5,7
55.75436,Таганско-Краснопресненская линия,#943E90,37.633877000000005,12,Китай-город,1971,-29,7
55.739502,Таганско-Краснопресненская линия,#943E90,37.653605,13,Таганская,1966,-36,7
55.731545999999994,Таганско-Краснопресненская линия,#943E90,37.666917,14,Пролетарская,1966,-9,7
55.725545999999994,Таганско-Краснопресненская линия,#943E90,37.685196999999995,15,Волгоградский проспект,1966,-8,7
55.709210999999996,Таганско-Краснопресненская линия,#943E90,37.732116999999995,16,Текстильщики,1966,-13,7
55.705493000000004,Таганско-Краснопресненская линия,#943E90,37.763295,17,Кузьминки,1966,-8,7
55.716139,Таганско-Краснопресненская линия,#943E90,37.792694,18,Рязанский проспект,1966,-6,7
55.715982999999994,Таганско-Краснопресненская линия,#943E90,37.816788,19,Выхино,1966,0,7
55.702036,Таганско-Краснопресненская линия,#943E90,37.851044,20,Лермонтовский проспект,2013,-12,7
55.684722,Таганско-Краснопресненская линия,#943E90,37.855833000000004,21,Жулебино,2013,-15,7
55.6743,Таганско-Краснопресненская линия,#943E90,37.8582,22,Котельники,2015,-15,7
55.77960600000001,Кольцевая линия,#915133,37.601252,0,Новослободская,1952,-40,5
55.779584,Кольцевая линия,#915133,37.633646,1,Проспект Мира,1952,-40,5
55.775672,Кольцевая линия,#915133,37.654771999999994,2,Комсомольская,1952,-37,5
55.75863100000001,Кольцевая линия,#915133,37.661059,3,Курская,1950,-40,5
55.742396,Кольцевая линия,#915133,37.653334,4,Таганская,1950,-53,5
55.731414,Кольцевая линия,#915133,37.636294,5,Павелецкая,1950,-40,5
55.72899399999999,Кольцевая линия,#915133,37.622533000000004,6,Добрынинская,1950,-35.5,5
55.729264,Кольцевая линия,#915133,37.611049,7,Октябрьская,1950,-40,5
55.735220999999996,Кольцевая линия,#915133,37.593095,8,Парк культуры,1950,-40,5
55.74361,Кольцевая линия,#915133,37.56735,10,Киевская,1954,-48,5
55.760378,Кольцевая линия,#915133,37.577114,11,Краснопресненская,1954,-35.5,5
55.775179,Кольцевая линия,#915133,37.582303,12,Белорусская,1952,-42.5,5
55.864830000000005,Люблинско-Дмитровская линия,#BED12C,37.55005,0,Селигерская,2018,-20,10
55.85566,Люблинско-Дмитровская линия,#BED12C,37.56282,1,Верхние Лихоборы,2018,-65,10
55.848889,Люблинско-Дмитровская линия,#BED12C,37.571111,2,Окружная,2018,-65,10
55.836667000000006,Люблинско-Дмитровская линия,#BED12C,37.575556,3,Петровско-Разумовская,2016,-61,10
55.822778,Люблинско-Дмитровская линия,#BED12C,37.588056,4,Фонвизинская,2016,-65,10
55.81333299999999,Люблинско-Дмитровская линия,#BED12C,37.602778,5,Бутырская ,2016,-60,10
55.793723,Люблинско-Дмитровская линия,#BED12C,37.61618,6,Марьина Роща,2010,-60,10
55.781667000000006,Люблинско-Дмитровская линия,#BED12C,37.613889,7,Достоевская,2010,-60,10
55.76771,Люблинско-Дмитровская линия,#BED12C,37.621926,8,Трубная,2007,-60,10
55.76610600000001,Люблинско-Дмитровская линия,#BED12C,37.635688,9,Сретенский бульвар,2007,-60,10
55.755951,Люблинско-Дмитровская линия,#BED12C,37.659293,10,Чкаловская,1995,-51,10
55.747027,Люблинско-Дмитровская линия,#BED12C,37.679996,11,Римская,1995,-54,10
55.732278,Люблинско-Дмитровская линия,#BED12C,37.665325,12,Крестьянская застава,1995,-47,10
55.71807,Люблинско-Дмитровская линия,#BED12C,37.676259,13,Дубровка,1999,-62,10
55.70615600000001,Люблинско-Дмитровская линия,#BED12C,37.68544,14,Кожуховская,1995,-12,10
55.692921,Люблинско-Дмитровская линия,#BED12C,37.728338,15,Печатники,1995,-4,10
55.690445999999994,Люблинско-Дмитровская линия,#BED12C,37.754314,16,Волжская,1995,-8,10
55.676595999999996,Люблинско-Дмитровская линия,#BED12C,37.761639,17,Люблино,1996,-8,10
55.658817000000006,Люблинско-Дмитровская линия,#BED12C,37.748415,18,Братиславская,1996,-8,10
55.64915799999999,Люблинско-Дмитровская линия,#BED12C,37.743844,19,Марьино,1996,-8,10
55.6325,Люблинско-Дмитровская линия,#BED12C,37.743333,20,Борисово,2011,-10,10
55.621667,Люблинско-Дмитровская линия,#BED12C,37.743611,21,Шипиловская,2011,-10,10
55.611943999999994,Люблинско-Дмитровская линия,#BED12C,37.745278000000006,22,Зябликово,2011,-15,10
55.654327,Каховская линия,#88CDCF,37.647705,0,Каширская,1969,-7,11А
55.653293999999995,Каховская линия,#88CDCF,37.619521999999996,1,Варшавская,1969,-9,11А
55.652923,Каховская линия,#88CDCF,37.596573,2,Каховская,1969,-8,11А
55.537977000000005,Бутовская линия,#BAC8E8,37.515899,0,Бунинская аллея,2003,9.6,12
55.542281,Бутовская линия,#BAC8E8,37.532063,1,Улица Горчакова,2003,9.6,12
55.545207,Бутовская линия,#BAC8E8,37.542328999999995,2,Бульвар Адмирала Ушакова,2003,9.6,12
55.548103000000005,Бутовская линия,#BAC8E8,37.552721000000005,3,Улица Скобелевская,2003,9.6,12
55.569193999999996,Бутовская линия,#BAC8E8,37.576074,4,Улица Старокачаловская,2003,-10,12
55.581656,Бутовская линия,#BAC8E8,37.577816,5,Лесопарковая,2014,-10,12
55.600066000000005,Бутовская линия,#BAC8E8,37.556058,6,Битцевский Парк,2014,-10,12
55.848889,Московское центральное кольцо,#F9BCD1,37.571111,0,Окружная,2016,0,14
55.847221999999995,Московское центральное кольцо,#F9BCD1,37.591944,1,Владыкино,2016,0,14
55.84555600000001,Московское центральное кольцо,#F9BCD1,37.640278,2,Ботанический сад,2016,0,14
55.83944399999999,Московское центральное кольцо,#F9BCD1,37.667778000000006,3,Ростокино,2016,0,14
55.83,Московское центральное кольцо,#F9BCD1,37.700556,4,Белокаменная,2016,0,14
55.817221999999994,Московское центральное кольцо,#F9BCD1,37.736944,5,Бульвар Рокоссовского,2016,0,14
55.80321899999999,Московское центральное кольцо,#F9BCD1,37.745742,6,Локомотив,2016,0,14
55.788610999999996,Московское центральное кольцо,#F9BCD1,37.742778,7,Измайлово,2016,0,14
55.77,Московское центральное кольцо,#F9BCD1,37.745278000000006,8,Соколиная Гора,2016,0,14
55.758632999999996,Московское центральное кольцо,#F9BCD1,37.748477,9,Шоссе Энтузиастов,2016,0,14
55.741111,Московское центральное кольцо,#F9BCD1,37.734444,10,Андроновка,2016,0,14
55.732222,Московское центральное кольцо,#F9BCD1,37.72825,11,Нижегородская,2016,0,14
55.723889,Московское центральное кольцо,#F9BCD1,37.716111,12,Новохохловская,2016,0,14
55.718332999999994,Московское центральное кольцо,#F9BCD1,37.697778,13,Угрешская,2016,0,14
55.712680000000006,Московское центральное кольцо,#F9BCD1,37.677775,14,Дубровка,2016,0,14
55.706309999999995,Московское центральное кольцо,#F9BCD1,37.663140000000006,15,Автозаводская,2016,0,14
55.698333,Московское центральное кольцо,#F9BCD1,37.648333,16,ЗИЛ,2016,0,14
55.69,Московское центральное кольцо,#F9BCD1,37.618889,17,Верхние Котлы,2016,0,14
